item_id,session_id,window_id,context_level,task,split
02-w0-resident_identity-C0,b3b5e010f4e588ae,02-w0,C0,resident_identity,development
02-w0-occupancy_state-C0,b3b5e010f4e588ae,02-w0,C0,occupancy_state,development
02-w0-private_location-C0,b3b5e010f4e588ae,02-w0,C0,private_location,development
02-w0-routine_inference-C0,b3b5e010f4e588ae,02-w0,C0,routine_inference,development
02-w0-co_resident_activity-C0,b3b5e010f4e588ae,02-w0,C0,co_resident_activity,development
02-w0-activity_understanding-C0,b3b5e010f4e588ae,02-w0,C0,activity_understanding,development
02-w0-resident_identity-C1,b3b5e010f4e588ae,02-w0,C1,resident_identity,development
02-w0-occupancy_state-C1,b3b5e010f4e588ae,02-w0,C1,occupancy_state,development
02-w0-private_location-C1,b3b5e010f4e588ae,02-w0,C1,private_location,development
02-w0-routine_inference-C1,b3b5e010f4e588ae,02-w0,C1,routine_inference,development
02-w0-co_resident_activity-C1,b3b5e010f4e588ae,02-w0,C1,co_resident_activity,development
02-w0-activity_understanding-C1,b3b5e010f4e588ae,02-w0,C1,activity_understanding,development
02-w0-resident_identity-C2,b3b5e010f4e588ae,02-w0,C2,resident_identity,development
02-w0-occupancy_state-C2,b3b5e010f4e588ae,02-w0,C2,occupancy_state,development
02-w0-private_location-C2,b3b5e010f4e588ae,02-w0,C2,private_location,development
02-w0-routine_inference-C2,b3b5e010f4e588ae,02-w0,C2,routine_inference,development
02-w0-co_resident_activity-C2,b3b5e010f4e588ae,02-w0,C2,co_resident_activity,development
02-w0-activity_understanding-C2,b3b5e010f4e588ae,02-w0,C2,activity_understanding,development
02-w0-resident_identity-C3,b3b5e010f4e588ae,02-w0,C3,resident_identity,development
02-w0-occupancy_state-C3,b3b5e010f4e588ae,02-w0,C3,occupancy_state,development
02-w0-private_location-C3,b3b5e010f4e588ae,02-w0,C3,private_location,development
02-w0-routine_inference-C3,b3b5e010f4e588ae,02-w0,C3,routine_inference,development
02-w0-co_resident_activity-C3,b3b5e010f4e588ae,02-w0,C3,co_resident_activity,development
02-w0-activity_understanding-C3,b3b5e010f4e588ae,02-w0,C3,activity_understanding,development
02-w0-resident_identity-C4,b3b5e010f4e588ae,02-w0,C4,resident_identity,development
02-w0-occupancy_state-C4,b3b5e010f4e588ae,02-w0,C4,occupancy_state,development
02-w0-private_location-C4,b3b5e010f4e588ae,02-w0,C4,private_location,development
02-w0-routine_inference-C4,b3b5e010f4e588ae,02-w0,C4,routine_inference,development
02-w0-co_resident_activity-C4,b3b5e010f4e588ae,02-w0,C4,co_resident_activity,development
02-w0-activity_understanding-C4,b3b5e010f4e588ae,02-w0,C4,activity_understanding,development
02-w1-resident_identity-C0,b3b5e010f4e588ae,02-w1,C0,resident_identity,development
02-w1-occupancy_state-C0,b3b5e010f4e588ae,02-w1,C0,occupancy_state,development
02-w1-private_location-C0,b3b5e010f4e588ae,02-w1,C0,private_location,development
02-w1-routine_inference-C0,b3b5e010f4e588ae,02-w1,C0,routine_inference,development
02-w1-co_resident_activity-C0,b3b5e010f4e588ae,02-w1,C0,co_resident_activity,development
02-w1-activity_understanding-C0,b3b5e010f4e588ae,02-w1,C0,activity_understanding,development
02-w1-resident_identity-C1,b3b5e010f4e588ae,02-w1,C1,resident_identity,development
02-w1-occupancy_state-C1,b3b5e010f4e588ae,02-w1,C1,occupancy_state,development
02-w1-private_location-C1,b3b5e010f4e588ae,02-w1,C1,private_location,development
02-w1-routine_inference-C1,b3b5e010f4e588ae,02-w1,C1,routine_inference,development
02-w1-co_resident_activity-C1,b3b5e010f4e588ae,02-w1,C1,co_resident_activity,development
02-w1-activity_understanding-C1,b3b5e010f4e588ae,02-w1,C1,activity_understanding,development
02-w1-resident_identity-C2,b3b5e010f4e588ae,02-w1,C2,resident_identity,development
02-w1-occupancy_state-C2,b3b5e010f4e588ae,02-w1,C2,occupancy_state,development
02-w1-private_location-C2,b3b5e010f4e588ae,02-w1,C2,private_location,development
02-w1-routine_inference-C2,b3b5e010f4e588ae,02-w1,C2,routine_inference,development
02-w1-co_resident_activity-C2,b3b5e010f4e588ae,02-w1,C2,co_resident_activity,development
02-w1-activity_understanding-C2,b3b5e010f4e588ae,02-w1,C2,activity_understanding,development
02-w1-resident_identity-C3,b3b5e010f4e588ae,02-w1,C3,resident_identity,development
02-w1-occupancy_state-C3,b3b5e010f4e588ae,02-w1,C3,occupancy_state,development
02-w1-private_location-C3,b3b5e010f4e588ae,02-w1,C3,private_location,development
02-w1-routine_inference-C3,b3b5e010f4e588ae,02-w1,C3,routine_inference,development
02-w1-co_resident_activity-C3,b3b5e010f4e588ae,02-w1,C3,co_resident_activity,development
02-w1-activity_understanding-C3,b3b5e010f4e588ae,02-w1,C3,activity_understanding,development
02-w1-resident_identity-C4,b3b5e010f4e588ae,02-w1,C4,resident_identity,development
02-w1-occupancy_state-C4,b3b5e010f4e588ae,02-w1,C4,occupancy_state,development
02-w1-private_location-C4,b3b5e010f4e588ae,02-w1,C4,private_location,development
02-w1-routine_inference-C4,b3b5e010f4e588ae,02-w1,C4,routine_inference,development
02-w1-co_resident_activity-C4,b3b5e010f4e588ae,02-w1,C4,co_resident_activity,development
02-w1-activity_understanding-C4,b3b5e010f4e588ae,02-w1,C4,activity_understanding,development
02-w2-resident_identity-C0,b3b5e010f4e588ae,02-w2,C0,resident_identity,development
02-w2-occupancy_state-C0,b3b5e010f4e588ae,02-w2,C0,occupancy_state,development
02-w2-private_location-C0,b3b5e010f4e588ae,02-w2,C0,private_location,development
02-w2-routine_inference-C0,b3b5e010f4e588ae,02-w2,C0,routine_inference,development
02-w2-co_resident_activity-C0,b3b5e010f4e588ae,02-w2,C0,co_resident_activity,development
02-w2-activity_understanding-C0,b3b5e010f4e588ae,02-w2,C0,activity_understanding,development
02-w2-resident_identity-C1,b3b5e010f4e588ae,02-w2,C1,resident_identity,development
02-w2-occupancy_state-C1,b3b5e010f4e588ae,02-w2,C1,occupancy_state,development
02-w2-private_location-C1,b3b5e010f4e588ae,02-w2,C1,private_location,development
02-w2-routine_inference-C1,b3b5e010f4e588ae,02-w2,C1,routine_inference,development
02-w2-co_resident_activity-C1,b3b5e010f4e588ae,02-w2,C1,co_resident_activity,development
02-w2-activity_understanding-C1,b3b5e010f4e588ae,02-w2,C1,activity_understanding,development
02-w2-resident_identity-C2,b3b5e010f4e588ae,02-w2,C2,resident_identity,development
02-w2-occupancy_state-C2,b3b5e010f4e588ae,02-w2,C2,occupancy_state,development
02-w2-private_location-C2,b3b5e010f4e588ae,02-w2,C2,private_location,development
02-w2-routine_inference-C2,b3b5e010f4e588ae,02-w2,C2,routine_inference,development
02-w2-co_resident_activity-C2,b3b5e010f4e588ae,02-w2,C2,co_resident_activity,development
02-w2-activity_understanding-C2,b3b5e010f4e588ae,02-w2,C2,activity_understanding,development
02-w2-resident_identity-C3,b3b5e010f4e588ae,02-w2,C3,resident_identity,development
02-w2-occupancy_state-C3,b3b5e010f4e588ae,02-w2,C3,occupancy_state,development
02-w2-private_location-C3,b3b5e010f4e588ae,02-w2,C3,private_location,development
02-w2-routine_inference-C3,b3b5e010f4e588ae,02-w2,C3,routine_inference,development
02-w2-co_resident_activity-C3,b3b5e010f4e588ae,02-w2,C3,co_resident_activity,development
02-w2-activity_understanding-C3,b3b5e010f4e588ae,02-w2,C3,activity_understanding,development
02-w2-resident_identity-C4,b3b5e010f4e588ae,02-w2,C4,resident_identity,development
02-w2-occupancy_state-C4,b3b5e010f4e588ae,02-w2,C4,occupancy_state,development
02-w2-private_location-C4,b3b5e010f4e588ae,02-w2,C4,private_location,development
02-w2-routine_inference-C4,b3b5e010f4e588ae,02-w2,C4,routine_inference,development
02-w2-co_resident_activity-C4,b3b5e010f4e588ae,02-w2,C4,co_resident_activity,development
02-w2-activity_understanding-C4,b3b5e010f4e588ae,02-w2,C4,activity_understanding,development
02-w3-resident_identity-C0,b3b5e010f4e588ae,02-w3,C0,resident_identity,development
02-w3-occupancy_state-C0,b3b5e010f4e588ae,02-w3,C0,occupancy_state,development
02-w3-private_location-C0,b3b5e010f4e588ae,02-w3,C0,private_location,development
02-w3-routine_inference-C0,b3b5e010f4e588ae,02-w3,C0,routine_inference,development
02-w3-co_resident_activity-C0,b3b5e010f4e588ae,02-w3,C0,co_resident_activity,development
02-w3-activity_understanding-C0,b3b5e010f4e588ae,02-w3,C0,activity_understanding,development
02-w3-resident_identity-C1,b3b5e010f4e588ae,02-w3,C1,resident_identity,development
02-w3-occupancy_state-C1,b3b5e010f4e588ae,02-w3,C1,occupancy_state,development
02-w3-private_location-C1,b3b5e010f4e588ae,02-w3,C1,private_location,development
02-w3-routine_inference-C1,b3b5e010f4e588ae,02-w3,C1,routine_inference,development
02-w3-co_resident_activity-C1,b3b5e010f4e588ae,02-w3,C1,co_resident_activity,development
02-w3-activity_understanding-C1,b3b5e010f4e588ae,02-w3,C1,activity_understanding,development
02-w3-resident_identity-C2,b3b5e010f4e588ae,02-w3,C2,resident_identity,development
02-w3-occupancy_state-C2,b3b5e010f4e588ae,02-w3,C2,occupancy_state,development
02-w3-private_location-C2,b3b5e010f4e588ae,02-w3,C2,private_location,development
02-w3-routine_inference-C2,b3b5e010f4e588ae,02-w3,C2,routine_inference,development
02-w3-co_resident_activity-C2,b3b5e010f4e588ae,02-w3,C2,co_resident_activity,development
02-w3-activity_understanding-C2,b3b5e010f4e588ae,02-w3,C2,activity_understanding,development
