model_id,task,context_level,n_answers,abstention_rate
llama3.2:latest,activity_understanding,C0,24,0.0
llama3.2:latest,activity_understanding,C1,24,0.041666666666666664
llama3.2:latest,activity_understanding,C2,24,0.125
llama3.2:latest,activity_understanding,C3,24,0.08333333333333333
llama3.2:latest,activity_understanding,C4,24,0.0
llama3.2:latest,co_resident_activity,C0,24,0.041666666666666664
llama3.2:latest,co_resident_activity,C1,24,0.16666666666666666
llama3.2:latest,co_resident_activity,C2,24,0.3333333333333333
llama3.2:latest,co_resident_activity,C3,24,0.20833333333333334
llama3.2:latest,co_resident_activity,C4,24,0.0
llama3.2:latest,occupancy_state,C0,24,0.6666666666666666
llama3.2:latest,occupancy_state,C1,24,0.5833333333333334
llama3.2:latest,occupancy_state,C2,24,0.2916666666666667
llama3.2:latest,occupancy_state,C3,24,0.4583333333333333
llama3.2:latest,occupancy_state,C4,24,0.041666666666666664
llama3.2:latest,private_location,C0,24,0.0
llama3.2:latest,private_location,C1,24,0.08333333333333333
llama3.2:latest,private_location,C2,24,0.041666666666666664
llama3.2:latest,private_location,C3,24,0.16666666666666666
llama3.2:latest,private_location,C4,24,0.0
llama3.2:latest,resident_identity,C0,24,0.5
llama3.2:latest,resident_identity,C1,24,1.0
llama3.2:latest,resident_identity,C2,24,1.0
llama3.2:latest,resident_identity,C3,24,1.0
llama3.2:latest,resident_identity,C4,24,0.7916666666666666
llama3.2:latest,routine_inference,C0,24,0.875
llama3.2:latest,routine_inference,C1,24,0.7916666666666666
llama3.2:latest,routine_inference,C2,24,0.3333333333333333
llama3.2:latest,routine_inference,C3,24,0.5416666666666666
llama3.2:latest,routine_inference,C4,24,0.75
phi3.5:latest,activity_understanding,C0,24,0.0
phi3.5:latest,activity_understanding,C1,24,0.0
phi3.5:latest,activity_understanding,C2,24,0.0
phi3.5:latest,activity_understanding,C3,24,0.4583333333333333
phi3.5:latest,activity_understanding,C4,24,0.0
phi3.5:latest,co_resident_activity,C0,24,0.0
phi3.5:latest,co_resident_activity,C1,24,0.0
phi3.5:latest,co_resident_activity,C2,24,0.0
phi3.5:latest,co_resident_activity,C3,24,0.0
phi3.5:latest,co_resident_activity,C4,24,0.20833333333333334
phi3.5:latest,occupancy_state,C0,24,0.0
phi3.5:latest,occupancy_state,C1,24,0.0
phi3.5:latest,occupancy_state,C2,24,0.0
phi3.5:latest,occupancy_state,C3,24,0.0
phi3.5:latest,occupancy_state,C4,24,0.0
phi3.5:latest,private_location,C0,24,0.0
phi3.5:latest,private_location,C1,24,0.041666666666666664
phi3.5:latest,private_location,C2,24,0.0
phi3.5:latest,private_location,C3,24,0.0
phi3.5:latest,private_location,C4,24,0.041666666666666664
phi3.5:latest,resident_identity,C0,24,0.041666666666666664
phi3.5:latest,resident_identity,C1,24,1.0
phi3.5:latest,resident_identity,C2,24,0.9583333333333334
phi3.5:latest,resident_identity,C3,24,1.0
phi3.5:latest,resident_identity,C4,24,1.0
phi3.5:latest,routine_inference,C0,24,0.125
phi3.5:latest,routine_inference,C1,24,0.08333333333333333
phi3.5:latest,routine_inference,C2,24,0.08333333333333333
phi3.5:latest,routine_inference,C3,24,0.375
phi3.5:latest,routine_inference,C4,24,0.9583333333333334
qwen3-local:latest,activity_understanding,C0,24,0.4583333333333333
qwen3-local:latest,activity_understanding,C1,24,0.375
qwen3-local:latest,activity_understanding,C2,24,0.4166666666666667
qwen3-local:latest,activity_understanding,C3,24,1.0
qwen3-local:latest,activity_understanding,C4,24,0.9583333333333334
qwen3-local:latest,co_resident_activity,C0,24,0.0
qwen3-local:latest,co_resident_activity,C1,24,0.0
qwen3-local:latest,co_resident_activity,C2,24,0.0
qwen3-local:latest,co_resident_activity,C3,24,0.0
qwen3-local:latest,co_resident_activity,C4,24,0.0
qwen3-local:latest,occupancy_state,C0,24,0.0
qwen3-local:latest,occupancy_state,C1,24,0.0
qwen3-local:latest,occupancy_state,C2,24,0.0
qwen3-local:latest,occupancy_state,C3,24,0.0
qwen3-local:latest,occupancy_state,C4,24,0.0
qwen3-local:latest,private_location,C0,24,0.5
qwen3-local:latest,private_location,C1,24,0.2916666666666667
qwen3-local:latest,private_location,C2,24,0.25
qwen3-local:latest,private_location,C3,24,0.375
qwen3-local:latest,private_location,C4,24,1.0
qwen3-local:latest,resident_identity,C0,24,0.5416666666666666
qwen3-local:latest,resident_identity,C1,24,1.0
qwen3-local:latest,resident_identity,C2,24,1.0
qwen3-local:latest,resident_identity,C3,24,1.0
qwen3-local:latest,resident_identity,C4,24,1.0
qwen3-local:latest,routine_inference,C0,24,0.5
qwen3-local:latest,routine_inference,C1,24,0.5416666666666666
qwen3-local:latest,routine_inference,C2,24,0.4166666666666667
qwen3-local:latest,routine_inference,C3,24,0.9166666666666666
qwen3-local:latest,routine_inference,C4,24,0.9583333333333334
