model_id,task,bin,bin_mean_confidence,bin_accuracy,n_samples
llama3.2:latest,activity_understanding,"(0.4, 0.5]",0.5,0.0,3
llama3.2:latest,activity_understanding,"(0.7, 0.8]",0.7999999999999997,0.08860759493670886,79
llama3.2:latest,activity_understanding,"(0.8, 0.9]",0.9000000000000001,0.6428571428571429,14
llama3.2:latest,activity_understanding,"(0.9, 1.0]",0.9972222222222222,0.3333333333333333,18
llama3.2:latest,co_resident_activity,"(0.7, 0.8]",0.8000000000000002,1.0,3
llama3.2:latest,co_resident_activity,"(0.9, 1.0]",1.0,0.7878787878787878,99
llama3.2:latest,occupancy_state,"(-0.001, 0.1]",0.0,0.0,16
llama3.2:latest,occupancy_state,"(0.7, 0.8]",0.8000000000000002,1.0,3
llama3.2:latest,occupancy_state,"(0.8, 0.9]",0.9,1.0,1
llama3.2:latest,occupancy_state,"(0.9, 1.0]",1.0,0.746268656716418,67
llama3.2:latest,private_location,"(0.4, 0.5]",0.5,0.4,5
llama3.2:latest,private_location,"(0.7, 0.8]",0.7999999999999997,0.2833333333333333,60
llama3.2:latest,private_location,"(0.8, 0.9]",0.9,0.0,5
llama3.2:latest,private_location,"(0.9, 1.0]",1.0,0.627906976744186,43
llama3.2:latest,resident_identity,"(-0.001, 0.1]",0.0,0.0,102
llama3.2:latest,resident_identity,"(0.4, 0.5]",0.5,0.0,1
llama3.2:latest,resident_identity,"(0.7, 0.8]",0.8,0.0,1
llama3.2:latest,resident_identity,"(0.9, 1.0]",1.0,0.2,15
llama3.2:latest,routine_inference,"(-0.001, 0.1]",0.0,0.0,78
llama3.2:latest,routine_inference,"(0.7, 0.8]",0.7999999999999999,0.0,6
llama3.2:latest,routine_inference,"(0.8, 0.9]",0.8999999999999998,1.0,20
llama3.2:latest,routine_inference,"(0.9, 1.0]",1.0,0.7333333333333333,15
phi3.5:latest,activity_understanding,"(0.2, 0.3]",0.25,0.0,7
phi3.5:latest,activity_understanding,"(0.5, 0.6]",0.6000000000000001,0.4,5
phi3.5:latest,activity_understanding,"(0.6, 0.7]",0.65,1.0,1
phi3.5:latest,activity_understanding,"(0.7, 0.8]",0.7588235294117647,0.29411764705882354,17
phi3.5:latest,activity_understanding,"(0.8, 0.9]",0.8500000000000001,0.2571428571428571,35
phi3.5:latest,activity_understanding,"(0.9, 1.0]",0.9596078431372551,0.45098039215686275,51
phi3.5:latest,co_resident_activity,"(0.4, 0.5]",0.5,0.0,5
phi3.5:latest,co_resident_activity,"(0.9, 1.0]",0.9906086956521739,0.7913043478260869,115
phi3.5:latest,occupancy_state,"(0.9, 1.0]",0.9998333333333334,0.85,120
phi3.5:latest,private_location,"(0.5, 0.6]",0.6000000000000001,0.0,1
phi3.5:latest,private_location,"(0.7, 0.8]",0.8,0.0,4
phi3.5:latest,private_location,"(0.8, 0.9]",0.898148148148148,0.0,27
phi3.5:latest,private_location,"(0.9, 1.0]",0.972906976744186,0.5116279069767442,86
phi3.5:latest,resident_identity,"(0.2, 0.3]",0.25,0.0,45
phi3.5:latest,resident_identity,"(0.4, 0.5]",0.5,0.0,16
phi3.5:latest,resident_identity,"(0.7, 0.8]",0.75,0.0,2
phi3.5:latest,resident_identity,"(0.8, 0.9]",0.85,0.0,1
phi3.5:latest,resident_identity,"(0.9, 1.0]",1.0,0.23809523809523808,21
phi3.5:latest,routine_inference,"(0.4, 0.5]",0.5,0.0,28
phi3.5:latest,routine_inference,"(0.5, 0.6]",0.6000000000000001,0.0,8
phi3.5:latest,routine_inference,"(0.7, 0.8]",0.75,0.0,2
phi3.5:latest,routine_inference,"(0.8, 0.9]",0.8499999999999999,0.7333333333333333,15
phi3.5:latest,routine_inference,"(0.9, 1.0]",0.968939393939394,0.7727272727272727,66
qwen3-local:latest,activity_understanding,"(-0.001, 0.1]",0.0,0.0,36
qwen3-local:latest,activity_understanding,"(0.1, 0.2]",0.19999999999999998,0.0,41
qwen3-local:latest,activity_understanding,"(0.7, 0.8]",0.8,0.25,4
qwen3-local:latest,activity_understanding,"(0.8, 0.9]",0.8999999999999999,0.5277777777777778,36
qwen3-local:latest,activity_understanding,"(0.9, 1.0]",0.9666666666666668,0.0,3
qwen3-local:latest,co_resident_activity,"(0.8, 0.9]",0.9,1.0,5
qwen3-local:latest,co_resident_activity,"(0.9, 1.0]",0.9952173913043477,0.8260869565217391,115
qwen3-local:latest,occupancy_state,"(0.7, 0.8]",0.8,1.0,1
qwen3-local:latest,occupancy_state,"(0.8, 0.9]",0.9,1.0,1
qwen3-local:latest,occupancy_state,"(0.9, 1.0]",0.9970338983050847,0.847457627118644,118
qwen3-local:latest,private_location,"(0.1, 0.2]",0.2,0.0,2
qwen3-local:latest,private_location,"(0.4, 0.5]",0.5,0.0,56
qwen3-local:latest,private_location,"(0.8, 0.9]",0.9,0.375,8
qwen3-local:latest,private_location,"(0.9, 1.0]",0.9842592592592594,0.7407407407407407,54
qwen3-local:latest,resident_identity,"(-0.001, 0.1]",0.0,0.0,44
qwen3-local:latest,resident_identity,"(0.1, 0.2]",0.20000000000000004,0.0,21
qwen3-local:latest,resident_identity,"(0.2, 0.3]",0.30000000000000004,0.0,1
qwen3-local:latest,resident_identity,"(0.4, 0.5]",0.5,0.0,43
qwen3-local:latest,resident_identity,"(0.8, 0.9]",0.9,0.0,2
qwen3-local:latest,resident_identity,"(0.9, 1.0]",0.9944444444444444,0.6666666666666666,9
qwen3-local:latest,routine_inference,"(0.1, 0.2]",0.19999999999999996,0.0,51
qwen3-local:latest,routine_inference,"(0.2, 0.3]",0.3000000000000001,0.0,29
qwen3-local:latest,routine_inference,"(0.7, 0.8]",0.8,0.0,1
qwen3-local:latest,routine_inference,"(0.8, 0.9]",0.8999999999999999,0.5555555555555556,27
qwen3-local:latest,routine_inference,"(0.9, 1.0]",0.9791666666666666,0.9166666666666666,12
