model_id,context_level,n_questions,activity_utility,reference_activity_utility,utility_retention
llama3.2:latest,C0,24,0.375,0.375,1.0
llama3.2:latest,C1,24,0.25,0.375,0.6666666666666666
llama3.2:latest,C2,24,0.125,0.375,0.3333333333333333
llama3.2:latest,C3,24,0.125,0.375,0.3333333333333333
llama3.2:latest,C4,24,0.041666666666666664,0.375,0.1111111111111111
phi3.5:latest,C0,24,0.5416666666666666,0.5416666666666666,1.0
phi3.5:latest,C1,24,0.5,0.5416666666666666,0.9230769230769231
phi3.5:latest,C2,24,0.4583333333333333,0.5416666666666666,0.8461538461538461
phi3.5:latest,C3,24,0.041666666666666664,0.5416666666666666,0.07692307692307693
phi3.5:latest,C4,24,0.125,0.5416666666666666,0.23076923076923078
qwen3-local:latest,C0,24,0.2916666666666667,0.2916666666666667,1.0
qwen3-local:latest,C1,24,0.2916666666666667,0.2916666666666667,1.0
qwen3-local:latest,C2,24,0.25,0.2916666666666667,0.8571428571428571
qwen3-local:latest,C3,24,0.0,0.2916666666666667,0.0
qwen3-local:latest,C4,24,0.0,0.2916666666666667,0.0
