model_id,task,context_level,n_answers,abstention_rate
llama3.2:latest,activity_understanding,C0,215,0.013953488372093023
llama3.2:latest,activity_understanding,C1,215,0.11627906976744186
llama3.2:latest,activity_understanding,C2,215,0.05581395348837209
llama3.2:latest,activity_understanding,C3,215,0.018604651162790697
llama3.2:latest,activity_understanding,C4,215,0.0
llama3.2:latest,co_resident_activity,C0,215,0.04186046511627907
llama3.2:latest,co_resident_activity,C1,215,0.2
llama3.2:latest,co_resident_activity,C2,215,0.14883720930232558
llama3.2:latest,co_resident_activity,C3,215,0.19534883720930232
llama3.2:latest,co_resident_activity,C4,215,0.0
llama3.2:latest,occupancy_state,C0,215,0.5209302325581395
llama3.2:latest,occupancy_state,C1,215,0.42790697674418604
llama3.2:latest,occupancy_state,C2,215,0.2558139534883721
llama3.2:latest,occupancy_state,C3,215,0.3627906976744186
llama3.2:latest,occupancy_state,C4,215,0.004651162790697674
llama3.2:latest,private_location,C0,215,0.009302325581395349
llama3.2:latest,private_location,C1,215,0.07906976744186046
llama3.2:latest,private_location,C2,215,0.04186046511627907
llama3.2:latest,private_location,C3,215,0.24186046511627907
llama3.2:latest,private_location,C4,215,0.0
llama3.2:latest,resident_identity,C0,215,0.3767441860465116
llama3.2:latest,resident_identity,C1,215,1.0
llama3.2:latest,resident_identity,C2,215,0.9953488372093023
llama3.2:latest,resident_identity,C3,215,1.0
llama3.2:latest,resident_identity,C4,215,0.7581395348837209
llama3.2:latest,routine_inference,C0,215,0.9116279069767442
llama3.2:latest,routine_inference,C1,215,0.8558139534883721
llama3.2:latest,routine_inference,C2,215,0.5348837209302325
llama3.2:latest,routine_inference,C3,215,0.7953488372093023
llama3.2:latest,routine_inference,C4,215,0.7534883720930232
phi3.5:latest,activity_understanding,C0,215,0.046511627906976744
phi3.5:latest,activity_understanding,C1,215,0.0
phi3.5:latest,activity_understanding,C2,215,0.009302325581395349
phi3.5:latest,activity_understanding,C3,215,0.6465116279069767
phi3.5:latest,activity_understanding,C4,215,0.0
phi3.5:latest,co_resident_activity,C0,215,0.018604651162790697
phi3.5:latest,co_resident_activity,C1,215,0.004651162790697674
phi3.5:latest,co_resident_activity,C2,215,0.04186046511627907
phi3.5:latest,co_resident_activity,C3,215,0.018604651162790697
phi3.5:latest,co_resident_activity,C4,215,0.24186046511627907
phi3.5:latest,occupancy_state,C0,215,0.009302325581395349
phi3.5:latest,occupancy_state,C1,215,0.0
phi3.5:latest,occupancy_state,C2,215,0.018604651162790697
phi3.5:latest,occupancy_state,C3,215,0.0
phi3.5:latest,occupancy_state,C4,215,0.0
phi3.5:latest,private_location,C0,215,0.004651162790697674
phi3.5:latest,private_location,C1,215,0.04186046511627907
phi3.5:latest,private_location,C2,215,0.023255813953488372
phi3.5:latest,private_location,C3,215,0.023255813953488372
phi3.5:latest,private_location,C4,215,0.004651162790697674
phi3.5:latest,resident_identity,C0,215,0.037209302325581395
phi3.5:latest,resident_identity,C1,215,0.986046511627907
phi3.5:latest,resident_identity,C2,215,0.9953488372093023
phi3.5:latest,resident_identity,C3,215,1.0
phi3.5:latest,resident_identity,C4,215,1.0
phi3.5:latest,routine_inference,C0,215,0.07441860465116279
phi3.5:latest,routine_inference,C1,215,0.09767441860465116
phi3.5:latest,routine_inference,C2,215,0.023255813953488372
phi3.5:latest,routine_inference,C3,215,0.5302325581395348
phi3.5:latest,routine_inference,C4,215,0.9953488372093023
qwen3-local:latest,activity_understanding,C0,215,0.3953488372093023
qwen3-local:latest,activity_understanding,C1,215,0.4697674418604651
qwen3-local:latest,activity_understanding,C2,215,0.6558139534883721
qwen3-local:latest,activity_understanding,C3,215,1.0
qwen3-local:latest,activity_understanding,C4,215,0.9953488372093023
qwen3-local:latest,co_resident_activity,C0,215,0.0
qwen3-local:latest,co_resident_activity,C1,215,0.0
qwen3-local:latest,co_resident_activity,C2,215,0.0
qwen3-local:latest,co_resident_activity,C3,215,0.0
qwen3-local:latest,co_resident_activity,C4,215,0.0
qwen3-local:latest,occupancy_state,C0,215,0.0
qwen3-local:latest,occupancy_state,C1,215,0.0
qwen3-local:latest,occupancy_state,C2,215,0.0
qwen3-local:latest,occupancy_state,C3,215,0.0
qwen3-local:latest,occupancy_state,C4,215,0.0
qwen3-local:latest,private_location,C0,215,0.2930232558139535
qwen3-local:latest,private_location,C1,215,0.10232558139534884
qwen3-local:latest,private_location,C2,215,0.13023255813953488
qwen3-local:latest,private_location,C3,215,0.18604651162790697
qwen3-local:latest,private_location,C4,215,1.0
qwen3-local:latest,resident_identity,C0,215,0.4790697674418605
qwen3-local:latest,resident_identity,C1,215,1.0
qwen3-local:latest,resident_identity,C2,215,1.0
qwen3-local:latest,resident_identity,C3,215,1.0
qwen3-local:latest,resident_identity,C4,215,1.0
qwen3-local:latest,routine_inference,C0,215,0.6837209302325581
qwen3-local:latest,routine_inference,C1,215,0.7023255813953488
qwen3-local:latest,routine_inference,C2,215,0.7906976744186046
qwen3-local:latest,routine_inference,C3,215,0.9767441860465116
qwen3-local:latest,routine_inference,C4,215,0.9953488372093023
