model_id,task,bin,bin_mean_confidence,bin_accuracy,n_samples
llama3.2:latest,activity_understanding,"(-0.001, 0.1]",0.0,0.42857142857142855,7
llama3.2:latest,activity_understanding,"(0.4, 0.5]",0.5,0.41379310344827586,29
llama3.2:latest,activity_understanding,"(0.7, 0.8]",0.7999999999999998,0.09883720930232558,688
llama3.2:latest,activity_understanding,"(0.8, 0.9]",0.9000000000000004,0.4069767441860465,172
llama3.2:latest,activity_understanding,"(0.9, 1.0]",0.993976,0.552,125
llama3.2:latest,co_resident_activity,"(-0.001, 0.1]",0.0,0.0,215
llama3.2:latest,co_resident_activity,"(0.7, 0.8]",0.8000000000000002,0.9629629629629629,27
llama3.2:latest,co_resident_activity,"(0.9, 1.0]",1.0,0.7159090909090909,704
llama3.2:latest,occupancy_state,"(-0.001, 0.1]",0.0,0.0,315
llama3.2:latest,occupancy_state,"(0.7, 0.8]",0.8000000000000003,0.8387096774193549,31
llama3.2:latest,occupancy_state,"(0.8, 0.9]",0.9,0.96,25
llama3.2:latest,occupancy_state,"(0.9, 1.0]",1.0,0.72,475
llama3.2:latest,private_location,"(-0.001, 0.1]",0.0,0.5,2
llama3.2:latest,private_location,"(0.4, 0.5]",0.5,0.5116279069767442,43
llama3.2:latest,private_location,"(0.7, 0.8]",0.7999999999999999,0.29797979797979796,396
llama3.2:latest,private_location,"(0.8, 0.9]",0.8999999999999999,0.2222222222222222,18
llama3.2:latest,private_location,"(0.9, 1.0]",1.0,0.3743119266055046,545
llama3.2:latest,resident_identity,"(-0.001, 0.1]",0.0,0.0,938
llama3.2:latest,resident_identity,"(0.4, 0.5]",0.5,0.0,3
llama3.2:latest,resident_identity,"(0.7, 0.8]",0.7999999999999999,0.0,7
llama3.2:latest,resident_identity,"(0.8, 0.9]",0.9,0.0,5
llama3.2:latest,resident_identity,"(0.9, 1.0]",1.0,0.39166666666666666,120
llama3.2:latest,routine_inference,"(-0.001, 0.1]",0.0,0.0,788
llama3.2:latest,routine_inference,"(0.7, 0.8]",0.7999999999999998,0.88,50
llama3.2:latest,routine_inference,"(0.8, 0.9]",0.9000000000000002,0.8115942028985508,138
llama3.2:latest,routine_inference,"(0.9, 1.0]",1.0,0.8375,80
phi3.5:latest,activity_understanding,"(0.2, 0.3]",0.25,0.0,23
phi3.5:latest,activity_understanding,"(0.4, 0.5]",0.5,0.0,187
phi3.5:latest,activity_understanding,"(0.5, 0.6]",0.6000000000000001,1.0,1
phi3.5:latest,activity_understanding,"(0.6, 0.7]",0.6500000000000001,0.6,10
phi3.5:latest,activity_understanding,"(0.7, 0.8]",0.7556338028169014,0.4507042253521127,71
phi3.5:latest,activity_understanding,"(0.8, 0.9]",0.850657894736842,0.5592105263157895,152
phi3.5:latest,activity_understanding,"(0.9, 1.0]",0.9573310225303293,0.5909878682842288,577
phi3.5:latest,co_resident_activity,"(0.4, 0.5]",0.5,0.0,215
phi3.5:latest,co_resident_activity,"(0.5, 0.6]",0.6000000000000001,0.0,1
phi3.5:latest,co_resident_activity,"(0.9, 1.0]",0.989478672985782,0.7523696682464455,844
phi3.5:latest,occupancy_state,"(0.4, 0.5]",0.5,0.0,181
phi3.5:latest,occupancy_state,"(0.9, 1.0]",0.9974011299435028,0.7807909604519774,885
phi3.5:latest,private_location,"(0.7, 0.8]",0.8,0.0,1
phi3.5:latest,private_location,"(0.8, 0.9]",0.89,0.0,5
phi3.5:latest,private_location,"(0.9, 1.0]",0.9751794258373205,0.65311004784689,836
phi3.5:latest,resident_identity,"(0.2, 0.3]",0.25,0.0,423
phi3.5:latest,resident_identity,"(0.4, 0.5]",0.5,0.0,118
phi3.5:latest,resident_identity,"(0.5, 0.6]",0.5719047616666667,0.0,6
phi3.5:latest,resident_identity,"(0.7, 0.8]",0.8000000000000002,0.0,12
phi3.5:latest,resident_identity,"(0.8, 0.9]",0.8666666666666666,0.0,6
phi3.5:latest,resident_identity,"(0.9, 1.0]",0.9994535519125683,0.28415300546448086,183
phi3.5:latest,routine_inference,"(0.4, 0.5]",0.5,0.0,233
phi3.5:latest,routine_inference,"(0.5, 0.6]",0.6,0.0,10
phi3.5:latest,routine_inference,"(0.6, 0.7]",0.65,0.0,3
phi3.5:latest,routine_inference,"(0.7, 0.8]",0.7614285714285713,0.2857142857142857,35
phi3.5:latest,routine_inference,"(0.8, 0.9]",0.8499999999999998,0.8211920529801324,151
phi3.5:latest,routine_inference,"(0.9, 1.0]",0.9626917057902973,0.6854460093896714,639
qwen3-local:latest,activity_understanding,"(-0.001, 0.1]",0.0,0.0,234
qwen3-local:latest,activity_understanding,"(0.1, 0.2]",0.19999999999999996,0.0,399
qwen3-local:latest,activity_understanding,"(0.4, 0.5]",0.5,0.0,6
qwen3-local:latest,activity_understanding,"(0.7, 0.8]",0.7999999999999998,0.4342105263157895,76
qwen3-local:latest,activity_understanding,"(0.8, 0.9]",0.9000000000000002,0.6231454005934718,337
qwen3-local:latest,activity_understanding,"(0.9, 1.0]",0.9543478260869563,0.7391304347826086,23
qwen3-local:latest,co_resident_activity,"(0.4, 0.5]",0.5,0.0,215
qwen3-local:latest,co_resident_activity,"(0.8, 0.9]",0.9,1.0,40
qwen3-local:latest,co_resident_activity,"(0.9, 1.0]",0.9979268292682927,0.7914634146341464,820
qwen3-local:latest,occupancy_state,"(0.2, 0.3]",0.30000000000000016,0.0,46
qwen3-local:latest,occupancy_state,"(0.4, 0.5]",0.5,0.0,169
qwen3-local:latest,occupancy_state,"(0.8, 0.9]",0.8999999999999998,1.0,29
qwen3-local:latest,occupancy_state,"(0.9, 1.0]",0.9970517448856798,0.8050541516245487,831
qwen3-local:latest,private_location,"(0.1, 0.2]",0.19999999999999998,0.0,6
qwen3-local:latest,private_location,"(0.2, 0.3]",0.30000000000000004,0.0,3
qwen3-local:latest,private_location,"(0.4, 0.5]",0.5,0.0,373
qwen3-local:latest,private_location,"(0.7, 0.8]",0.8,0.0,1
qwen3-local:latest,private_location,"(0.8, 0.9]",0.9,0.6444444444444445,135
qwen3-local:latest,private_location,"(0.9, 1.0]",0.9862657091561939,0.7953321364452424,557
qwen3-local:latest,resident_identity,"(-0.001, 0.1]",0.0,0.0,419
qwen3-local:latest,resident_identity,"(0.1, 0.2]",0.19999999999999998,0.0,369
qwen3-local:latest,resident_identity,"(0.2, 0.3]",0.3000000000000001,0.0,7
qwen3-local:latest,resident_identity,"(0.4, 0.5]",0.5,0.0,168
qwen3-local:latest,resident_identity,"(0.7, 0.8]",0.8,0.0,2
qwen3-local:latest,resident_identity,"(0.8, 0.9]",0.9,0.0,5
qwen3-local:latest,resident_identity,"(0.9, 1.0]",0.9957142857142857,0.5047619047619047,105
qwen3-local:latest,routine_inference,"(-0.001, 0.1]",0.0,0.0,2
qwen3-local:latest,routine_inference,"(0.1, 0.2]",0.19999999999999996,0.0,692
qwen3-local:latest,routine_inference,"(0.2, 0.3]",0.30000000000000004,0.0,65
qwen3-local:latest,routine_inference,"(0.7, 0.8]",0.8000000000000003,0.9333333333333333,15
qwen3-local:latest,routine_inference,"(0.8, 0.9]",0.9000000000000002,0.8482142857142857,224
qwen3-local:latest,routine_inference,"(0.9, 1.0]",0.9857142857142858,0.7532467532467533,77
