model_id,task,context_level,n_answers,unsupported_inference_rate
llama3.2:latest,activity_understanding,C0,212,0.7169811320754716
llama3.2:latest,activity_understanding,C1,190,0.7894736842105263
llama3.2:latest,activity_understanding,C2,203,0.7142857142857143
llama3.2:latest,activity_understanding,C3,200,0.76
llama3.2:latest,activity_understanding,C4,215,0.9255813953488372
llama3.2:latest,co_resident_activity,C0,206,0.25728155339805825
llama3.2:latest,co_resident_activity,C1,172,0.2441860465116279
llama3.2:latest,co_resident_activity,C2,183,0.2896174863387978
llama3.2:latest,co_resident_activity,C3,170,0.31176470588235294
llama3.2:latest,co_resident_activity,C4,0,
llama3.2:latest,occupancy_state,C0,103,0.0970873786407767
llama3.2:latest,occupancy_state,C1,123,0.2764227642276423
llama3.2:latest,occupancy_state,C2,160,0.3
llama3.2:latest,occupancy_state,C3,145,0.32413793103448274
llama3.2:latest,occupancy_state,C4,0,
llama3.2:latest,private_location,C0,213,0.5774647887323944
llama3.2:latest,private_location,C1,198,0.5606060606060606
llama3.2:latest,private_location,C2,206,0.6796116504854369
llama3.2:latest,private_location,C3,172,0.38953488372093026
llama3.2:latest,private_location,C4,215,0.9953488372093023
llama3.2:latest,resident_identity,C0,134,0.6492537313432836
llama3.2:latest,resident_identity,C1,0,
llama3.2:latest,resident_identity,C2,1,1.0
llama3.2:latest,resident_identity,C3,1,1.0
llama3.2:latest,resident_identity,C4,0,
llama3.2:latest,routine_inference,C0,19,0.10526315789473684
llama3.2:latest,routine_inference,C1,31,0.0967741935483871
llama3.2:latest,routine_inference,C2,100,0.13
llama3.2:latest,routine_inference,C3,118,0.2288135593220339
llama3.2:latest,routine_inference,C4,0,
phi3.5:latest,activity_understanding,C0,205,0.35609756097560974
phi3.5:latest,activity_understanding,C1,215,0.3767441860465116
phi3.5:latest,activity_understanding,C2,213,0.38028169014084506
phi3.5:latest,activity_understanding,C3,178,0.6235955056179775
phi3.5:latest,activity_understanding,C4,0,
phi3.5:latest,co_resident_activity,C0,211,0.24170616113744076
phi3.5:latest,co_resident_activity,C1,214,0.24766355140186916
phi3.5:latest,co_resident_activity,C2,206,0.25728155339805825
phi3.5:latest,co_resident_activity,C3,212,0.24056603773584906
phi3.5:latest,co_resident_activity,C4,1,1.0
phi3.5:latest,occupancy_state,C0,213,0.023474178403755867
phi3.5:latest,occupancy_state,C1,215,0.2558139534883721
phi3.5:latest,occupancy_state,C2,211,0.2559241706161137
phi3.5:latest,occupancy_state,C3,212,0.25471698113207547
phi3.5:latest,occupancy_state,C4,34,0.7647058823529411
phi3.5:latest,private_location,C0,214,0.46261682242990654
phi3.5:latest,private_location,C1,206,0.3106796116504854
phi3.5:latest,private_location,C2,210,0.3238095238095238
phi3.5:latest,private_location,C3,212,0.30660377358490565
phi3.5:latest,private_location,C4,0,
phi3.5:latest,resident_identity,C0,207,0.748792270531401
phi3.5:latest,resident_identity,C1,3,1.0
phi3.5:latest,resident_identity,C2,1,1.0
phi3.5:latest,resident_identity,C3,3,1.0
phi3.5:latest,resident_identity,C4,0,
phi3.5:latest,routine_inference,C0,199,0.2864321608040201
phi3.5:latest,routine_inference,C1,194,0.2422680412371134
phi3.5:latest,routine_inference,C2,210,0.3238095238095238
phi3.5:latest,routine_inference,C3,197,0.28426395939086296
phi3.5:latest,routine_inference,C4,0,
qwen3-local:latest,activity_understanding,C0,130,0.26153846153846155
qwen3-local:latest,activity_understanding,C1,114,0.35964912280701755
qwen3-local:latest,activity_understanding,C2,74,0.4594594594594595
qwen3-local:latest,activity_understanding,C3,118,0.5677966101694916
qwen3-local:latest,activity_understanding,C4,0,
qwen3-local:latest,co_resident_activity,C0,215,0.05581395348837209
qwen3-local:latest,co_resident_activity,C1,215,0.24651162790697675
qwen3-local:latest,co_resident_activity,C2,215,0.24651162790697675
qwen3-local:latest,co_resident_activity,C3,215,0.24651162790697675
qwen3-local:latest,co_resident_activity,C4,0,
qwen3-local:latest,occupancy_state,C0,215,0.013953488372093023
qwen3-local:latest,occupancy_state,C1,215,0.24651162790697675
qwen3-local:latest,occupancy_state,C2,215,0.24651162790697675
qwen3-local:latest,occupancy_state,C3,215,0.24651162790697675
qwen3-local:latest,occupancy_state,C4,0,
qwen3-local:latest,private_location,C0,152,0.19736842105263158
qwen3-local:latest,private_location,C1,193,0.23834196891191708
qwen3-local:latest,private_location,C2,187,0.25668449197860965
qwen3-local:latest,private_location,C3,161,0.2422360248447205
qwen3-local:latest,private_location,C4,0,
qwen3-local:latest,resident_identity,C0,112,0.5267857142857143
qwen3-local:latest,resident_identity,C1,0,
qwen3-local:latest,resident_identity,C2,0,
qwen3-local:latest,resident_identity,C3,0,
qwen3-local:latest,resident_identity,C4,0,
qwen3-local:latest,routine_inference,C0,68,0.10294117647058823
qwen3-local:latest,routine_inference,C1,64,0.09375
qwen3-local:latest,routine_inference,C2,45,0.2
qwen3-local:latest,routine_inference,C3,139,0.2302158273381295
qwen3-local:latest,routine_inference,C4,0,
