model_id,task,bin,bin_mean_confidence,bin_accuracy,n_samples
llama3.2:latest,activity_understanding,"(-0.001, 0.1]",0.0,0.42857142857142855,7
llama3.2:latest,activity_understanding,"(0.4, 0.5]",0.5,0.42857142857142855,28
llama3.2:latest,activity_understanding,"(0.7, 0.8]",0.7999999999999998,0.1384217335058215,773
llama3.2:latest,activity_understanding,"(0.8, 0.9]",0.9000000000000005,0.3870967741935484,124
llama3.2:latest,activity_understanding,"(0.9, 1.0]",0.99397,0.51,100
llama3.2:latest,co_resident_activity,"(-0.001, 0.1]",0.0,0.0,1
llama3.2:latest,co_resident_activity,"(0.4, 0.5]",0.5,0.0,1
llama3.2:latest,co_resident_activity,"(0.7, 0.8]",0.8,1.0,11
llama3.2:latest,co_resident_activity,"(0.9, 1.0]",1.0,0.7897545357524013,937
llama3.2:latest,occupancy_state,"(-0.001, 0.1]",0.0,0.0,101
llama3.2:latest,occupancy_state,"(0.7, 0.8]",0.8000000000000002,0.7857142857142857,28
llama3.2:latest,occupancy_state,"(0.8, 0.9]",0.8999999999999998,0.9523809523809523,21
llama3.2:latest,occupancy_state,"(0.9, 1.0]",1.0,0.8008720930232558,688
llama3.2:latest,private_location,"(-0.001, 0.1]",0.0,0.5,2
llama3.2:latest,private_location,"(0.4, 0.5]",0.5,0.46511627906976744,43
llama3.2:latest,private_location,"(0.7, 0.8]",0.7999999999999998,0.5202156334231806,371
llama3.2:latest,private_location,"(0.8, 0.9]",0.8999999999999999,0.05555555555555555,18
llama3.2:latest,private_location,"(0.9, 1.0]",1.0,0.4295900178253119,561
llama3.2:latest,resident_identity,"(-0.001, 0.1]",0.0,0.0,886
llama3.2:latest,resident_identity,"(0.4, 0.5]",0.5,0.0,3
llama3.2:latest,resident_identity,"(0.7, 0.8]",0.7999999999999999,0.0,6
llama3.2:latest,resident_identity,"(0.8, 0.9]",0.9,0.0,5
llama3.2:latest,resident_identity,"(0.9, 1.0]",1.0,0.45348837209302323,172
llama3.2:latest,routine_inference,"(-0.001, 0.1]",0.0,0.0,820
llama3.2:latest,routine_inference,"(0.7, 0.8]",0.7999999999999999,0.3493975903614458,83
llama3.2:latest,routine_inference,"(0.8, 0.9]",0.9000000000000006,0.8,95
llama3.2:latest,routine_inference,"(0.9, 1.0]",1.0,0.7246376811594203,69
phi3.5:latest,activity_understanding,"(0.2, 0.3]",0.25,0.0,53
phi3.5:latest,activity_understanding,"(0.4, 0.5]",0.5,0.0,12
phi3.5:latest,activity_understanding,"(0.5, 0.6]",0.6000000000000002,0.07407407407407407,54
phi3.5:latest,activity_understanding,"(0.6, 0.7]",0.6500000000000001,0.5454545454545454,11
phi3.5:latest,activity_understanding,"(0.7, 0.8]",0.7579787234042553,0.3723404255319149,94
phi3.5:latest,activity_understanding,"(0.8, 0.9]",0.8503144654088047,0.3081761006289308,318
phi3.5:latest,activity_understanding,"(0.9, 1.0]",0.9573154362416106,0.6331096196868009,447
phi3.5:latest,co_resident_activity,"(0.4, 0.5]",0.5,0.0,53
phi3.5:latest,co_resident_activity,"(0.5, 0.6]",0.6000000000000001,0.0,1
phi3.5:latest,co_resident_activity,"(0.8, 0.9]",0.9,0.0,1
phi3.5:latest,co_resident_activity,"(0.9, 1.0]",0.9938147410358565,0.7918326693227091,1004
phi3.5:latest,occupancy_state,"(0.9, 1.0]",0.9997661365762395,0.8437792329279701,1069
phi3.5:latest,private_location,"(0.4, 0.5]",0.5,0.0,1
phi3.5:latest,private_location,"(0.5, 0.6]",0.6000000000000001,0.0,2
phi3.5:latest,private_location,"(0.7, 0.8]",0.7978260869565219,0.0,23
phi3.5:latest,private_location,"(0.8, 0.9]",0.8993243243243247,0.0,222
phi3.5:latest,private_location,"(0.9, 1.0]",0.9788351920693927,0.6765799256505576,807
phi3.5:latest,resident_identity,"(0.2, 0.3]",0.25,0.0,391
phi3.5:latest,resident_identity,"(0.4, 0.5]",0.5,0.0,166
phi3.5:latest,resident_identity,"(0.5, 0.6]",0.5719047616666667,0.0,6
phi3.5:latest,resident_identity,"(0.7, 0.8]",0.8000000000000002,0.0,12
phi3.5:latest,resident_identity,"(0.8, 0.9]",0.85,0.0,4
phi3.5:latest,resident_identity,"(0.9, 1.0]",0.9994505494505495,0.2857142857142857,182
phi3.5:latest,routine_inference,"(0.4, 0.5]",0.5,0.0,270
phi3.5:latest,routine_inference,"(0.5, 0.6]",0.6000000000000001,0.0,27
phi3.5:latest,routine_inference,"(0.6, 0.7]",0.6499999999999998,0.0,29
phi3.5:latest,routine_inference,"(0.7, 0.8]",0.7579545454545453,0.20454545454545456,44
phi3.5:latest,routine_inference,"(0.8, 0.9]",0.8499999999999999,0.8235294117647058,136
phi3.5:latest,routine_inference,"(0.9, 1.0]",0.9618750000000001,0.6214285714285714,560
qwen3-local:latest,activity_understanding,"(-0.001, 0.1]",0.0,0.0,362
qwen3-local:latest,activity_understanding,"(0.1, 0.2]",0.19999999999999998,0.0,388
qwen3-local:latest,activity_understanding,"(0.4, 0.5]",0.5,0.0,6
qwen3-local:latest,activity_understanding,"(0.7, 0.8]",0.8000000000000002,0.5277777777777778,36
qwen3-local:latest,activity_understanding,"(0.8, 0.9]",0.9000000000000002,0.6716981132075471,265
qwen3-local:latest,activity_understanding,"(0.9, 1.0]",0.9527777777777777,0.6666666666666666,18
qwen3-local:latest,co_resident_activity,"(0.8, 0.9]",0.8999999999999999,0.975609756097561,41
qwen3-local:latest,co_resident_activity,"(0.9, 1.0]",0.9985009671179882,0.8355899419729207,1034
qwen3-local:latest,occupancy_state,"(0.7, 0.8]",0.8,1.0,1
qwen3-local:latest,occupancy_state,"(0.8, 0.9]",0.8999999999999998,1.0,29
qwen3-local:latest,occupancy_state,"(0.9, 1.0]",0.9977033492822965,0.8449760765550239,1045
qwen3-local:latest,private_location,"(0.1, 0.2]",0.19999999999999998,0.0,6
qwen3-local:latest,private_location,"(0.4, 0.5]",0.5,0.0,362
qwen3-local:latest,private_location,"(0.7, 0.8]",0.7999999999999999,0.0,6
qwen3-local:latest,private_location,"(0.8, 0.9]",0.9000000000000006,0.5882352941176471,119
qwen3-local:latest,private_location,"(0.9, 1.0]",0.988745704467354,0.8367697594501718,582
qwen3-local:latest,resident_identity,"(-0.001, 0.1]",0.0,0.0,459
qwen3-local:latest,resident_identity,"(0.1, 0.2]",0.19999999999999998,0.0,119
qwen3-local:latest,resident_identity,"(0.2, 0.3]",0.30000000000000004,0.0,5
qwen3-local:latest,resident_identity,"(0.4, 0.5]",0.5,0.0,380
qwen3-local:latest,resident_identity,"(0.7, 0.8]",0.8,0.0,2
qwen3-local:latest,resident_identity,"(0.8, 0.9]",0.9,0.0,5
qwen3-local:latest,resident_identity,"(0.9, 1.0]",0.9957142857142857,0.5047619047619047,105
qwen3-local:latest,routine_inference,"(-0.001, 0.1]",0.0,0.0,2
qwen3-local:latest,routine_inference,"(0.1, 0.2]",0.19999999999999998,0.0,612
qwen3-local:latest,routine_inference,"(0.2, 0.3]",0.30000000000000004,0.0,278
qwen3-local:latest,routine_inference,"(0.7, 0.8]",0.8,1.0,5
qwen3-local:latest,routine_inference,"(0.8, 0.9]",0.9000000000000001,0.8992248062015504,129
qwen3-local:latest,routine_inference,"(0.9, 1.0]",0.9826530612244899,0.7755102040816326,49
