model_id,task,context_level,n_answers,unsupported_inference_rate
llama3.2:latest,activity_understanding,C0,215,0.7069767441860465
llama3.2:latest,activity_understanding,C1,215,0.6976744186046512
llama3.2:latest,activity_understanding,C2,215,0.6744186046511628
llama3.2:latest,activity_understanding,C3,215,0.9069767441860465
llama3.2:latest,activity_understanding,C4,215,0.7813953488372093
llama3.2:latest,co_resident_activity,C0,215,0.24651162790697675
llama3.2:latest,co_resident_activity,C1,215,0.19534883720930232
llama3.2:latest,co_resident_activity,C2,215,0.24651162790697675
llama3.2:latest,co_resident_activity,C3,215,0.23255813953488372
llama3.2:latest,co_resident_activity,C4,215,0.0
llama3.2:latest,occupancy_state,C0,215,0.046511627906976744
llama3.2:latest,occupancy_state,C1,215,0.15813953488372093
llama3.2:latest,occupancy_state,C2,215,0.22325581395348837
llama3.2:latest,occupancy_state,C3,215,0.24186046511627907
llama3.2:latest,occupancy_state,C4,215,0.0
llama3.2:latest,private_location,C0,215,0.5720930232558139
llama3.2:latest,private_location,C1,215,0.5162790697674419
llama3.2:latest,private_location,C2,215,0.6511627906976745
llama3.2:latest,private_location,C3,215,0.26976744186046514
llama3.2:latest,private_location,C4,215,0.49767441860465117
llama3.2:latest,resident_identity,C0,215,0.4046511627906977
llama3.2:latest,resident_identity,C1,215,0.0
llama3.2:latest,resident_identity,C2,215,0.004651162790697674
llama3.2:latest,resident_identity,C3,215,0.0
llama3.2:latest,resident_identity,C4,215,0.09767441860465116
llama3.2:latest,routine_inference,C0,215,0.009302325581395349
llama3.2:latest,routine_inference,C1,215,0.013953488372093023
llama3.2:latest,routine_inference,C2,215,0.06046511627906977
llama3.2:latest,routine_inference,C3,215,0.10232558139534884
llama3.2:latest,routine_inference,C4,215,0.24186046511627907
phi3.5:latest,activity_understanding,C0,215,0.3395348837209302
phi3.5:latest,activity_understanding,C1,215,0.3767441860465116
phi3.5:latest,activity_understanding,C2,215,0.3767441860465116
phi3.5:latest,activity_understanding,C3,215,0.2930232558139535
phi3.5:latest,activity_understanding,C4,215,0.9302325581395349
phi3.5:latest,co_resident_activity,C0,215,0.2372093023255814
phi3.5:latest,co_resident_activity,C1,215,0.24651162790697675
phi3.5:latest,co_resident_activity,C2,215,0.24651162790697675
phi3.5:latest,co_resident_activity,C3,215,0.24651162790697675
phi3.5:latest,co_resident_activity,C4,215,0.0
phi3.5:latest,occupancy_state,C0,215,0.023255813953488372
phi3.5:latest,occupancy_state,C1,215,0.2558139534883721
phi3.5:latest,occupancy_state,C2,215,0.25116279069767444
phi3.5:latest,occupancy_state,C3,215,0.24651162790697675
phi3.5:latest,occupancy_state,C4,215,0.0
phi3.5:latest,private_location,C0,215,0.4604651162790698
phi3.5:latest,private_location,C1,215,0.29767441860465116
phi3.5:latest,private_location,C2,215,0.31627906976744186
phi3.5:latest,private_location,C3,215,0.2930232558139535
phi3.5:latest,private_location,C4,215,0.9953488372093023
phi3.5:latest,resident_identity,C0,215,0.7209302325581395
phi3.5:latest,resident_identity,C1,215,0.013953488372093023
phi3.5:latest,resident_identity,C2,215,0.004651162790697674
phi3.5:latest,resident_identity,C3,215,0.0
phi3.5:latest,resident_identity,C4,215,0.0
phi3.5:latest,routine_inference,C0,215,0.2651162790697674
phi3.5:latest,routine_inference,C1,215,0.2186046511627907
phi3.5:latest,routine_inference,C2,215,0.31627906976744186
phi3.5:latest,routine_inference,C3,215,0.29767441860465116
phi3.5:latest,routine_inference,C4,215,0.0
qwen3-local:latest,activity_understanding,C0,215,0.15813953488372093
qwen3-local:latest,activity_understanding,C1,215,0.19069767441860466
qwen3-local:latest,activity_understanding,C2,215,0.15813953488372093
qwen3-local:latest,activity_understanding,C3,215,0.0
qwen3-local:latest,activity_understanding,C4,215,0.004651162790697674
qwen3-local:latest,co_resident_activity,C0,215,0.05581395348837209
qwen3-local:latest,co_resident_activity,C1,215,0.24651162790697675
qwen3-local:latest,co_resident_activity,C2,215,0.24651162790697675
qwen3-local:latest,co_resident_activity,C3,215,0.24651162790697675
qwen3-local:latest,co_resident_activity,C4,215,0.0
qwen3-local:latest,occupancy_state,C0,215,0.013953488372093023
qwen3-local:latest,occupancy_state,C1,215,0.24651162790697675
qwen3-local:latest,occupancy_state,C2,215,0.24651162790697675
qwen3-local:latest,occupancy_state,C3,215,0.24651162790697675
qwen3-local:latest,occupancy_state,C4,215,0.0
qwen3-local:latest,private_location,C0,215,0.13953488372093023
qwen3-local:latest,private_location,C1,215,0.21395348837209302
qwen3-local:latest,private_location,C2,215,0.22325581395348837
qwen3-local:latest,private_location,C3,215,0.12093023255813953
qwen3-local:latest,private_location,C4,215,0.0
qwen3-local:latest,resident_identity,C0,215,0.2744186046511628
qwen3-local:latest,resident_identity,C1,215,0.0
qwen3-local:latest,resident_identity,C2,215,0.0
qwen3-local:latest,resident_identity,C3,215,0.0
qwen3-local:latest,resident_identity,C4,215,0.0
qwen3-local:latest,routine_inference,C0,215,0.03255813953488372
qwen3-local:latest,routine_inference,C1,215,0.027906976744186046
qwen3-local:latest,routine_inference,C2,215,0.04186046511627907
qwen3-local:latest,routine_inference,C3,215,0.009302325581395349
qwen3-local:latest,routine_inference,C4,215,0.0
