model_id,context_level,n_questions,activity_utility,reference_activity_utility,utility_retention
llama3.2:latest,C0,215,0.27906976744186046,0.27906976744186046,1.0
llama3.2:latest,C1,215,0.18604651162790697,0.27906976744186046,0.6666666666666666
llama3.2:latest,C2,215,0.26976744186046514,0.27906976744186046,0.9666666666666668
llama3.2:latest,C3,215,0.07441860465116279,0.27906976744186046,0.26666666666666666
llama3.2:latest,C4,215,0.2186046511627907,0.27906976744186046,0.7833333333333334
phi3.5:latest,C0,215,0.6139534883720931,0.6139534883720931,1.0
phi3.5:latest,C1,215,0.6232558139534884,0.6139534883720931,1.0151515151515151
phi3.5:latest,C2,215,0.6139534883720931,0.6139534883720931,1.0
phi3.5:latest,C3,215,0.06046511627906977,0.6139534883720931,0.09848484848484848
phi3.5:latest,C4,215,0.06976744186046512,0.6139534883720931,0.11363636363636363
qwen3-local:latest,C0,215,0.44651162790697674,0.44651162790697674,1.0
qwen3-local:latest,C1,215,0.3395348837209302,0.44651162790697674,0.7604166666666666
qwen3-local:latest,C2,215,0.18604651162790697,0.44651162790697674,0.4166666666666667
qwen3-local:latest,C3,215,0.0,0.44651162790697674,0.0
qwen3-local:latest,C4,215,0.0,0.44651162790697674,0.0
