model_id,task,bin,bin_mean_confidence,bin_accuracy,n_samples
openai/gpt-oss-120b,activity_understanding,"(-0.001, 0.1]",0.0,0.0,15
openai/gpt-oss-120b,activity_understanding,"(0.1, 0.2]",0.20000000000000004,0.0,3
openai/gpt-oss-120b,activity_understanding,"(0.2, 0.3]",0.30000000000000004,0.0,25
openai/gpt-oss-120b,activity_understanding,"(0.3, 0.4]",0.375,0.0,2
openai/gpt-oss-120b,activity_understanding,"(0.4, 0.5]",0.45,0.0,2
openai/gpt-oss-120b,activity_understanding,"(0.5, 0.6]",0.6,0.5833333333333334,12
openai/gpt-oss-120b,activity_understanding,"(0.6, 0.7]",0.6869230769230769,0.6153846153846154,13
openai/gpt-oss-120b,activity_understanding,"(0.7, 0.8]",0.7678571428571429,0.35714285714285715,14
openai/gpt-oss-120b,activity_understanding,"(0.8, 0.9]",0.86875,0.5416666666666666,24
openai/gpt-oss-120b,activity_understanding,"(0.9, 1.0]",0.9550000000000001,0.25,8
openai/gpt-oss-120b,co_resident_activity,"(0.5, 0.6]",0.6000000000000001,0.0,8
openai/gpt-oss-120b,co_resident_activity,"(0.6, 0.7]",0.7000000000000001,0.45454545454545453,11
openai/gpt-oss-120b,co_resident_activity,"(0.7, 0.8]",0.7857142857142856,0.42857142857142855,7
openai/gpt-oss-120b,co_resident_activity,"(0.8, 0.9]",0.8658823529411764,0.7647058823529411,17
openai/gpt-oss-120b,co_resident_activity,"(0.9, 1.0]",0.9758441558441556,0.8961038961038961,77
openai/gpt-oss-120b,occupancy_state,"(0.7, 0.8]",0.75,1.0,1
openai/gpt-oss-120b,occupancy_state,"(0.8, 0.9]",0.9,0.0,4
openai/gpt-oss-120b,occupancy_state,"(0.9, 1.0]",0.9685217391304347,0.8695652173913043,115
openai/gpt-oss-120b,private_location,"(0.3, 0.4]",0.4,0.0,1
openai/gpt-oss-120b,private_location,"(0.4, 0.5]",0.5,0.0,1
openai/gpt-oss-120b,private_location,"(0.5, 0.6]",0.6000000000000001,0.6,5
openai/gpt-oss-120b,private_location,"(0.6, 0.7]",0.6883333333333335,0.0,6
openai/gpt-oss-120b,private_location,"(0.7, 0.8]",0.7962962962962964,0.25925925925925924,27
openai/gpt-oss-120b,private_location,"(0.8, 0.9]",0.8885714285714285,0.11428571428571428,35
openai/gpt-oss-120b,private_location,"(0.9, 1.0]",0.9631111111111115,0.9777777777777777,45
openai/gpt-oss-120b,resident_identity,"(-0.001, 0.1]",0.09000000000000002,0.0,30
openai/gpt-oss-120b,resident_identity,"(0.1, 0.2]",0.2,0.0,5
openai/gpt-oss-120b,resident_identity,"(0.7, 0.8]",0.8,0.0,1
openai/gpt-oss-120b,resident_identity,"(0.8, 0.9]",0.8988095238095238,0.30952380952380953,42
openai/gpt-oss-120b,resident_identity,"(0.9, 1.0]",0.9685714285714287,0.21428571428571427,42
openai/gpt-oss-120b,routine_inference,"(0.5, 0.6]",0.6000000000000001,0.25,4
openai/gpt-oss-120b,routine_inference,"(0.6, 0.7]",0.6964285714285714,0.42857142857142855,14
openai/gpt-oss-120b,routine_inference,"(0.7, 0.8]",0.7866666666666668,0.5,30
openai/gpt-oss-120b,routine_inference,"(0.8, 0.9]",0.8823333333333333,0.5,60
openai/gpt-oss-120b,routine_inference,"(0.9, 1.0]",0.9383333333333335,0.9166666666666666,12
