model_id,task,context_level,n_questions,hclr_tau_0.7
openai/gpt-oss-120b,co_resident_activity,C0,24,0.9583333333333334
openai/gpt-oss-120b,co_resident_activity,C1,24,0.75
openai/gpt-oss-120b,co_resident_activity,C2,24,0.75
openai/gpt-oss-120b,co_resident_activity,C3,24,0.3333333333333333
openai/gpt-oss-120b,co_resident_activity,C4,24,0.9583333333333334
openai/gpt-oss-120b,occupancy_state,C0,24,1.0
openai/gpt-oss-120b,occupancy_state,C1,24,0.75
openai/gpt-oss-120b,occupancy_state,C2,24,0.75
openai/gpt-oss-120b,occupancy_state,C3,24,0.75
openai/gpt-oss-120b,occupancy_state,C4,24,0.9583333333333334
openai/gpt-oss-120b,private_location,C0,24,0.5416666666666666
openai/gpt-oss-120b,private_location,C1,24,0.4583333333333333
openai/gpt-oss-120b,private_location,C2,24,0.5
openai/gpt-oss-120b,private_location,C3,24,0.5416666666666666
openai/gpt-oss-120b,private_location,C4,24,0.25
openai/gpt-oss-120b,resident_identity,C0,24,0.25
openai/gpt-oss-120b,resident_identity,C1,24,0.2916666666666667
openai/gpt-oss-120b,resident_identity,C2,24,0.16666666666666666
openai/gpt-oss-120b,resident_identity,C3,24,0.20833333333333334
openai/gpt-oss-120b,resident_identity,C4,24,0.0
openai/gpt-oss-120b,routine_inference,C0,24,0.7083333333333334
openai/gpt-oss-120b,routine_inference,C1,24,0.7083333333333334
openai/gpt-oss-120b,routine_inference,C2,24,0.6666666666666666
openai/gpt-oss-120b,routine_inference,C3,24,0.5
openai/gpt-oss-120b,routine_inference,C4,24,0.0
