model_id,task,bin,bin_mean_confidence,bin_accuracy,n_samples
gemma4:31b,activity_understanding,"(-0.001, 0.1]",0.0,0.0,48
gemma4:31b,activity_understanding,"(0.4, 0.5]",0.5,1.0,1
gemma4:31b,activity_understanding,"(0.5, 0.6]",0.6,0.3333333333333333,12
gemma4:31b,activity_understanding,"(0.6, 0.7]",0.7,0.38461538461538464,13
gemma4:31b,activity_understanding,"(0.7, 0.8]",0.8,0.5454545454545454,33
gemma4:31b,activity_understanding,"(0.8, 0.9]",0.9000000000000001,0.5384615384615384,13
gemma4:31b,co_resident_activity,"(-0.001, 0.1]",0.0,0.0,17
gemma4:31b,co_resident_activity,"(0.9, 1.0]",1.0,0.7475728155339806,103
gemma4:31b,occupancy_state,"(0.9, 1.0]",1.0,0.65,120
gemma4:31b,private_location,"(-0.001, 0.1]",0.0,0.0,5
gemma4:31b,private_location,"(0.9, 1.0]",1.0,0.391304347826087,115
gemma4:31b,resident_identity,"(0.9, 1.0]",1.0,0.016666666666666666,120
gemma4:31b,routine_inference,"(0.6, 0.7]",0.7000000000000001,0.6666666666666666,3
gemma4:31b,routine_inference,"(0.7, 0.8]",0.8000000000000002,0.8461538461538461,13
gemma4:31b,routine_inference,"(0.8, 0.9]",0.8999999999999999,0.9444444444444444,36
gemma4:31b,routine_inference,"(0.9, 1.0]",1.0,0.45588235294117646,68
gpt-oss:120b,activity_understanding,"(-0.001, 0.1]",0.0,0.0,19
gpt-oss:120b,activity_understanding,"(0.1, 0.2]",0.19999999999999998,0.0,6
gpt-oss:120b,activity_understanding,"(0.2, 0.3]",0.30000000000000004,0.0,2
gpt-oss:120b,activity_understanding,"(0.3, 0.4]",0.4,0.0,2
gpt-oss:120b,activity_understanding,"(0.5, 0.6]",0.6000000000000001,0.5625,16
gpt-oss:120b,activity_understanding,"(0.6, 0.7]",0.6889473684210526,0.42105263157894735,19
gpt-oss:120b,activity_understanding,"(0.7, 0.8]",0.7783333333333333,0.25,12
gpt-oss:120b,activity_understanding,"(0.8, 0.9]",0.8659459459459459,0.6756756756756757,37
gpt-oss:120b,activity_understanding,"(0.9, 1.0]",0.9500000000000001,0.0,7
gpt-oss:120b,co_resident_activity,"(0.1, 0.2]",0.2,0.0,8
gpt-oss:120b,co_resident_activity,"(0.2, 0.3]",0.30000000000000004,0.0,4
gpt-oss:120b,co_resident_activity,"(0.3, 0.4]",0.4,0.0,2
gpt-oss:120b,co_resident_activity,"(0.4, 0.5]",0.5,0.0,1
gpt-oss:120b,co_resident_activity,"(0.5, 0.6]",0.6000000000000001,0.0,6
gpt-oss:120b,co_resident_activity,"(0.6, 0.7]",0.7000000000000001,0.0,1
gpt-oss:120b,co_resident_activity,"(0.7, 0.8]",0.8,0.4,5
gpt-oss:120b,co_resident_activity,"(0.8, 0.9]",0.8826086956521736,0.6956521739130435,23
gpt-oss:120b,co_resident_activity,"(0.9, 1.0]",0.9685714285714287,0.8142857142857143,70
gpt-oss:120b,occupancy_state,"(0.2, 0.3]",0.30000000000000004,0.0,2
gpt-oss:120b,occupancy_state,"(0.3, 0.4]",0.4000000000000001,0.0,3
gpt-oss:120b,occupancy_state,"(0.8, 0.9]",0.8976190476190475,0.047619047619047616,21
gpt-oss:120b,occupancy_state,"(0.9, 1.0]",0.9654255319148934,0.8191489361702128,94
gpt-oss:120b,private_location,"(-0.001, 0.1]",0.1,0.0,2
gpt-oss:120b,private_location,"(0.1, 0.2]",0.2,0.0,16
gpt-oss:120b,private_location,"(0.2, 0.3]",0.30000000000000004,0.0,2
gpt-oss:120b,private_location,"(0.5, 0.6]",0.6000000000000001,0.0,1
gpt-oss:120b,private_location,"(0.6, 0.7]",0.7000000000000001,0.0,2
gpt-oss:120b,private_location,"(0.7, 0.8]",0.7923076923076925,0.0,13
gpt-oss:120b,private_location,"(0.8, 0.9]",0.8828571428571429,0.2571428571428571,35
gpt-oss:120b,private_location,"(0.9, 1.0]",0.9526530612244899,0.8571428571428571,49
gpt-oss:120b,resident_identity,"(-0.001, 0.1]",0.07931034482758621,0.0,29
gpt-oss:120b,resident_identity,"(0.1, 0.2]",0.2,0.0,4
gpt-oss:120b,resident_identity,"(0.4, 0.5]",0.5,0.0,1
gpt-oss:120b,resident_identity,"(0.6, 0.7]",0.7000000000000001,0.0,1
gpt-oss:120b,resident_identity,"(0.7, 0.8]",0.78,0.0,1
gpt-oss:120b,resident_identity,"(0.8, 0.9]",0.8986111111111109,0.3333333333333333,36
gpt-oss:120b,resident_identity,"(0.9, 1.0]",0.9608333333333334,0.20833333333333334,48
gpt-oss:120b,routine_inference,"(0.5, 0.6]",0.6000000000000001,0.3333333333333333,3
gpt-oss:120b,routine_inference,"(0.6, 0.7]",0.7,0.5384615384615384,13
gpt-oss:120b,routine_inference,"(0.7, 0.8]",0.7816666666666667,0.5,30
gpt-oss:120b,routine_inference,"(0.8, 0.9]",0.8757407407407406,0.5740740740740741,54
gpt-oss:120b,routine_inference,"(0.9, 1.0]",0.9268421052631579,0.6842105263157895,19
