model_id,task,context_level,n_answers,unsupported_inference_rate
gemma4:31b,activity_understanding,C0,24,0.375
gemma4:31b,activity_understanding,C1,24,0.375
gemma4:31b,activity_understanding,C2,24,0.3333333333333333
gemma4:31b,activity_understanding,C3,24,0.4583333333333333
gemma4:31b,activity_understanding,C4,24,0.0
gemma4:31b,co_resident_activity,C0,24,0.041666666666666664
gemma4:31b,co_resident_activity,C1,24,0.25
gemma4:31b,co_resident_activity,C2,24,0.25
gemma4:31b,co_resident_activity,C3,24,0.25
gemma4:31b,co_resident_activity,C4,24,0.0
gemma4:31b,occupancy_state,C0,24,0.0
gemma4:31b,occupancy_state,C1,24,0.25
gemma4:31b,occupancy_state,C2,24,0.25
gemma4:31b,occupancy_state,C3,24,0.25
gemma4:31b,occupancy_state,C4,24,0.0
gemma4:31b,private_location,C0,24,0.2916666666666667
gemma4:31b,private_location,C1,24,0.5
gemma4:31b,private_location,C2,24,0.4583333333333333
gemma4:31b,private_location,C3,24,0.4583333333333333
gemma4:31b,private_location,C4,24,0.0
gemma4:31b,resident_identity,C0,24,0.0
gemma4:31b,resident_identity,C1,24,0.0
gemma4:31b,resident_identity,C2,24,0.0
gemma4:31b,resident_identity,C3,24,0.0
gemma4:31b,resident_identity,C4,24,0.0
gemma4:31b,routine_inference,C0,24,0.041666666666666664
gemma4:31b,routine_inference,C1,24,0.041666666666666664
gemma4:31b,routine_inference,C2,24,0.041666666666666664
gemma4:31b,routine_inference,C3,24,0.20833333333333334
gemma4:31b,routine_inference,C4,24,0.0
gpt-oss:120b,activity_understanding,C0,24,0.4583333333333333
gpt-oss:120b,activity_understanding,C1,24,0.4583333333333333
gpt-oss:120b,activity_understanding,C2,24,0.5
gpt-oss:120b,activity_understanding,C3,24,0.5
gpt-oss:120b,activity_understanding,C4,24,0.0
gpt-oss:120b,co_resident_activity,C0,24,0.041666666666666664
gpt-oss:120b,co_resident_activity,C1,24,0.25
gpt-oss:120b,co_resident_activity,C2,24,0.20833333333333334
gpt-oss:120b,co_resident_activity,C3,24,0.125
gpt-oss:120b,co_resident_activity,C4,24,0.0
gpt-oss:120b,occupancy_state,C0,24,0.0
gpt-oss:120b,occupancy_state,C1,24,0.25
gpt-oss:120b,occupancy_state,C2,24,0.25
gpt-oss:120b,occupancy_state,C3,24,0.25
gpt-oss:120b,occupancy_state,C4,24,0.0
gpt-oss:120b,private_location,C0,24,0.25
gpt-oss:120b,private_location,C1,24,0.2916666666666667
gpt-oss:120b,private_location,C2,24,0.2916666666666667
gpt-oss:120b,private_location,C3,24,0.2916666666666667
gpt-oss:120b,private_location,C4,24,0.0
gpt-oss:120b,resident_identity,C0,24,0.2916666666666667
gpt-oss:120b,resident_identity,C1,24,0.0
gpt-oss:120b,resident_identity,C2,24,0.0
gpt-oss:120b,resident_identity,C3,24,0.0
gpt-oss:120b,resident_identity,C4,24,0.0
gpt-oss:120b,routine_inference,C0,24,0.20833333333333334
gpt-oss:120b,routine_inference,C1,24,0.20833333333333334
gpt-oss:120b,routine_inference,C2,24,0.2916666666666667
gpt-oss:120b,routine_inference,C3,24,0.375
gpt-oss:120b,routine_inference,C4,24,0.0
