model_id,context_level,n_questions,activity_utility,reference_activity_utility,utility_retention
gemma4:31b,C0,24,0.375,0.375,1.0
gemma4:31b,C1,24,0.375,0.375,1.0
gemma4:31b,C2,24,0.4166666666666667,0.375,1.1111111111111112
gemma4:31b,C3,24,0.2916666666666667,0.375,0.7777777777777778
gemma4:31b,C4,24,0.0,0.375,0.0
gpt-oss:120b,C0,24,0.4583333333333333,0.4583333333333333,1.0
gpt-oss:120b,C1,24,0.5,0.4583333333333333,1.090909090909091
gpt-oss:120b,C2,24,0.4583333333333333,0.4583333333333333,1.0
gpt-oss:120b,C3,24,0.4583333333333333,0.4583333333333333,1.0
gpt-oss:120b,C4,24,0.0,0.4583333333333333,0.0
